fecha;nombre;area;circuito;estructura;lat;long;observaciones;apoyoTipo;apoyoCantidad;configuracion;disposicion;altura;característicasPlaca;avifauna;avifaunaEquipos;crucetaSup;crucetaInf;bayonetaTipo;bayonetaObservaciones;templeteCant;templeteAvifauna;aisladorTipo;aisladorA;aisladorB;aisladorC;dpsA;dpsB;dpsC;seccionador;equiposAdicionales;sptBajante;sptConexion;sptCantidad;sptEstado;fotoPath,,,,,,
2025-05-28 13:53:28;;kitaro ;kitaro -akira ;p-11a;4.3413863;-72.715766;retención con derivación en 2 cruceta ;P;1;Retención;Triangular;12;;Sí;grapas y puente ;1;1;Doble;;2;2;Cadenas de aisladores;;;;;;;No;linepost;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_135654_6234945261888464376.jpg,,,,,,
2025-05-28 13:49:56;;kitaro ;kitaro -akira ;p-10a;4.3413863;-72.715766;paso con dps;P;1;Otro;Semibandera;12;;Sí;aisladores y dps ;1;1;Sencilla;;;;Pin;1;1;1;1;1;1;No;dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_135305_4804356473429189327.jpg,,,,,,
2025-05-28 13:45:06;;kitaro ;kitaro -akira ;p-09a;4.3413863;-72.715766;estructura de paso ;P;1;Otro;Semibandera;12;;Sí;aisladores ;1;;Sencilla;;;;Pin;1;1;1;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_134937_1306174219385860639.jpg,,,,,,
2025-05-28 13:38:35;;kitaro ;kitaro -akira ;p-08a;4.3413863;-72.715766;retención en una sola cruceta 1 cruceta corta para dos inferior ;P;1;Retención;Otro;12;;Sí;grapas y dps;1;1;Sencilla;;2;2;Cadenas de aisladores;;;;1;1;1;No;linpost;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_134450_6900671878573523490.jpg,,,,,,
2025-05-28 13:35:00;;kitaro ;kitaro -akira ;p-07a;4.3413863;-72.715766;estructura de paso ;P;1;Otro;Semibandera;12;;Sí;aisladores ;1;;Sencilla;;;;Pin;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_133819_346441777399950506.jpg,,,,,,
2025-05-28 13:28:05;;kitaro ;kitaro -akira ;p-06a;4.3413863;-72.715766;poste derivación subterráneo a Akira central ;P;1;Otro;Semibandera;12;;Sí;aisladores   ;1;2;Sencilla;estructura sin dps para transición ;;;Aislador;;;;;;;Sí;premoldeados ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_133444_822183172824708472.jpg,,,,,,
2025-05-28 13:23:33;;kitaro ;kitaro -akira ;p05-a;4.3413863;-72.715766;estructura de paso ;P;1;Otro;Triangular;;;Sí;dps y aisladores ;1;1;Sencilla;;;;Pin;;;;1;1;1;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_132744_3122404542977844572.jpg,,,,,,
2025-05-28 13:22:52;;kitaro ;kitaro -akira ;p-04b;4.3413863;-72.715766;estructura en derivación ;P;1;Otro;Triangular;12;;Sí;grapas y puente ;1;1;Doble;;2;;Cadenas de aisladores;;;;;;;No;linepost;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_132312_7772683813862577315.jpg,,,,,,
2025-05-28 13:14:03;;kitaro ;kitaro -akira ;p-03a;4.3413863;-72.715766;estructura paso - usar suspensión ;P;1;Otro;Semibandera;;;Sí;dps _ aisladores ;1;1;Sencilla;crucetas horizontales;;;Pin;;;;1;1;1;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_131821_1178555729178656156.jpg,,,,,,
2025-05-28 13:02:52;;kitaro ;kitaro -akira norte;p-02a;4.3413863;-72.715766;derivación con cruceta superior más larga;P;1;Retención;Otro;;;Sí;grapas pistola ;1;1;Doble;cambiar por pullover;3;;Cadenas de aisladores;;;;;;;No;linepost;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_130806_4610662669972760949.jpg,,,,,,
2025-05-28 12:55:38;kitaro;kitaro;kitaro- ponyo;p-02b;4.3417068;-72.7465409;doble cruceta para derivar;P;1;Retención;Otro;;;Sí;grapas;2;1;Doble;cruceta superior sin uso ;2;;Cadenas de aisladores;;;;;;;No;linepost;1;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_130232_888266786248999095.jpg,,,,,,
2025-05-28 12:45:03;;kitaro ;kitaro -ponyo;p-01b;4.3417068;-72.7465409;conexión pórtico ;P;1;Retención;Triangular;14;420;Sí;aisladores y 1 puente medio ;1;1;Doble;;1;1;Cadenas de aisladores;1;1;1;;;;Sí;linepost;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_124837_6363001702591021817.jpg,,,,,,
2025-05-28 12:33:29;;kitaro;pórtico kitaro;;4.3417068;-72.7465409;;P;;Retención;Canadiense;;;No;;;;Sencilla;;;;Aislador;;;;;;;No;;;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_123354_3478051974247572647.jpg,,,,,,
